,id,end_date,start_date,project_id,created_at,updated_at,instructor_updated,active
140,143,2018-08-06 06:59:00,2018-08-01 07:00:00,12,2018-08-01 07:21:42,2018-08-06 07:21:22,1,1
141,144,2018-08-10 06:59:00,2018-08-07 07:00:00,13,2018-08-07 07:20:33,2018-08-10 07:20:37,1,1
142,145,2018-08-17 06:59:00,2018-08-14 07:00:00,13,2018-08-14 07:21:05,2018-08-17 07:20:51,1,1
143,146,2018-08-24 06:59:00,2018-08-21 07:00:00,13,2018-08-21 07:21:23,2018-08-24 07:21:02,1,1
144,147,2018-08-31 06:59:00,2018-08-28 07:00:00,13,2018-08-28 07:21:12,2018-08-31 07:21:13,1,1
145,149,2018-09-13 03:59:00,2018-09-09 04:00:00,17,2018-09-11 13:30:43,2018-09-13 04:21:27,1,1
146,150,2018-09-13 03:59:00,2018-09-09 04:00:00,18,2018-09-11 14:29:22,2018-09-13 04:21:27,1,1
147,151,2018-09-15 03:59:00,2018-09-12 04:00:00,17,2018-09-13 21:51:08,2018-09-15 04:21:01,1,1
148,152,2018-09-17 14:59:00,2018-09-13 15:00:00,14,2018-09-14 02:56:45,2018-09-17 15:21:01,1,1
149,153,2018-09-17 14:59:00,2018-09-13 15:00:00,19,2018-09-14 03:06:10,2018-09-17 15:21:02,1,1
150,154,2018-09-20 03:59:00,2018-09-16 04:00:00,18,2018-09-16 04:21:35,2018-09-20 04:20:52,1,1
151,155,2018-09-22 03:59:00,2018-09-19 04:00:00,17,2018-09-19 04:20:46,2018-09-22 04:21:16,1,1
152,156,2018-09-24 14:59:00,2018-09-20 15:00:00,14,2018-09-20 15:20:48,2018-09-24 15:20:53,1,1
153,157,2018-09-24 14:59:00,2018-09-20 15:00:00,19,2018-09-20 15:20:48,2018-09-24 15:20:53,1,1
154,158,2018-09-27 03:59:00,2018-09-23 04:00:00,18,2018-09-23 04:20:29,2018-09-27 04:20:37,1,1
155,159,2018-10-01 14:59:00,2018-09-27 15:00:00,14,2018-09-27 15:21:25,2018-10-01 15:21:21,1,1
156,160,2018-10-01 14:59:00,2018-09-27 15:00:00,19,2018-09-27 15:21:25,2018-10-01 15:21:21,1,1
157,161,2018-10-04 03:59:00,2018-09-30 04:00:00,18,2018-09-30 04:20:59,2018-10-04 04:21:12,1,1
158,162,2018-10-08 14:59:00,2018-10-04 15:00:00,14,2018-10-04 15:21:01,2018-10-08 15:20:37,1,1
159,163,2018-10-08 14:59:00,2018-10-04 15:00:00,19,2018-10-04 15:21:01,2018-10-08 15:20:37,1,1
160,164,2018-10-11 03:59:00,2018-10-07 04:00:00,18,2018-10-07 04:20:34,2018-10-11 04:21:40,1,1
161,165,2018-10-15 14:59:00,2018-10-11 15:00:00,14,2018-10-11 15:21:32,2018-10-15 15:21:09,1,1
162,166,2018-10-15 14:59:00,2018-10-11 15:00:00,19,2018-10-11 15:21:32,2018-10-15 15:21:09,1,1
163,167,2018-10-18 03:59:00,2018-10-14 04:00:00,18,2018-10-14 04:21:08,2018-10-18 04:20:31,1,1
164,168,2018-10-22 14:59:00,2018-10-18 15:00:00,14,2018-10-18 15:21:08,2018-10-22 15:21:16,1,1
165,169,2018-10-22 14:59:00,2018-10-18 15:00:00,19,2018-10-18 15:21:08,2018-10-22 15:21:17,1,1
166,170,2018-10-25 03:59:00,2018-10-21 04:00:00,18,2018-10-21 04:21:00,2018-10-25 04:21:06,1,1
167,171,2018-10-24 14:59:00,2018-10-20 15:00:00,19,2018-10-23 00:46:29,2018-10-24 02:08:01,0,0
168,172,2018-10-29 14:59:00,2018-10-25 15:00:00,14,2018-10-25 15:21:53,2018-10-29 15:21:10,1,1
169,173,2018-10-30 14:59:00,2018-10-27 15:00:00,19,2018-10-27 15:21:07,2018-10-30 15:21:06,1,1
170,174,2018-11-01 03:59:00,2018-10-28 04:00:00,18,2018-10-28 04:20:48,2018-11-01 04:20:41,1,1
171,175,2018-11-05 14:59:00,2018-11-01 15:00:00,14,2018-11-01 15:20:50,2018-11-05 15:21:03,1,1
172,176,2018-11-06 14:59:00,2018-11-03 15:00:00,19,2018-11-03 15:21:10,2018-11-06 15:21:14,1,1
173,177,2018-11-07 04:59:00,2018-11-04 04:00:00,18,2018-11-04 04:20:34,2018-11-07 05:21:01,1,1
174,178,2018-11-12 14:59:00,2018-11-08 15:00:00,14,2018-11-08 15:21:36,2018-11-12 15:21:18,1,1
175,179,2018-11-13 14:59:00,2018-11-10 15:00:00,19,2018-11-10 15:21:21,2018-11-13 15:21:34,1,1
176,180,2018-11-15 04:59:00,2018-11-11 05:00:00,18,2018-11-11 05:20:48,2018-11-15 05:21:18,1,1
177,181,2018-11-19 14:59:00,2018-11-15 15:00:00,14,2018-11-15 15:21:14,2018-11-19 15:21:56,1,1
178,182,2018-11-20 14:59:00,2018-11-17 15:00:00,19,2018-11-17 15:20:34,2018-11-20 15:21:17,1,1
179,183,2018-11-22 04:59:00,2018-11-18 05:00:00,18,2018-11-18 05:21:20,2018-11-22 05:20:39,1,1
180,184,2018-11-26 14:59:00,2018-11-22 15:00:00,14,2018-11-22 15:21:17,2018-11-26 15:21:14,1,1
181,185,2018-11-27 14:59:00,2018-11-24 15:00:00,19,2018-11-24 15:21:22,2018-11-27 15:21:46,1,1
182,186,2018-11-29 04:59:00,2018-11-25 05:00:00,18,2018-11-25 05:21:13,2018-11-29 05:21:08,1,1
183,187,2018-12-03 14:59:00,2018-11-29 15:00:00,14,2018-11-29 15:20:28,2018-12-03 15:21:46,1,1
184,188,2018-12-04 14:59:00,2018-12-01 15:00:00,19,2018-12-01 15:20:51,2018-12-04 15:21:18,1,1
185,189,2018-12-06 04:59:00,2018-12-02 05:00:00,18,2018-12-02 05:20:46,2018-12-06 05:21:16,1,1
186,190,2018-12-10 14:59:00,2018-12-06 15:00:00,14,2018-12-06 15:21:06,2018-12-10 15:21:17,1,1
187,191,2018-12-11 14:59:00,2018-12-08 15:00:00,19,2018-12-08 15:21:25,2018-12-11 15:21:33,1,1
188,192,2018-12-13 04:59:00,2018-12-09 05:00:00,18,2018-12-09 05:20:30,2018-12-13 05:20:36,1,1
189,193,2018-12-17 14:59:00,2018-12-13 15:00:00,14,2018-12-13 15:21:32,2018-12-17 15:20:40,1,1
190,194,2019-03-18 14:59:00,2019-03-14 15:00:00,21,2019-03-17 15:20:52,2019-03-18 15:20:40,1,1
191,195,2019-03-25 14:59:00,2019-03-21 15:00:00,21,2019-03-21 15:20:46,2019-03-25 15:20:32,1,1
192,196,2019-03-25 14:59:00,2019-03-21 15:00:00,22,2019-03-25 00:21:47,2019-03-25 00:21:47,0,0
193,197,2019-04-01 14:59:00,2019-03-28 15:00:00,21,2019-03-28 15:21:06,2019-04-01 15:21:27,1,1
194,198,2019-04-01 14:59:00,2019-03-28 15:00:00,22,2019-03-28 15:21:06,2019-04-01 15:21:27,1,1
195,199,2019-04-08 14:59:00,2019-04-04 15:00:00,21,2019-04-04 15:20:56,2019-04-08 15:21:07,1,1
196,200,2019-04-08 14:59:00,2019-04-04 15:00:00,22,2019-04-04 15:20:56,2019-04-08 15:21:07,1,1
197,201,2019-04-15 14:59:00,2019-04-11 15:00:00,21,2019-04-11 15:21:21,2019-04-15 15:21:40,1,1
198,202,2019-04-15 14:59:00,2019-04-11 15:00:00,22,2019-04-11 15:21:21,2019-04-15 15:21:40,1,1
199,203,2019-04-22 14:59:00,2019-04-18 15:00:00,21,2019-04-18 15:21:14,2019-04-22 15:20:28,1,1
200,204,2019-04-22 14:59:00,2019-04-18 15:00:00,22,2019-04-18 15:21:14,2019-04-22 15:20:29,1,1
201,205,2019-04-29 14:59:00,2019-04-25 15:00:00,21,2019-04-25 15:20:33,2019-04-29 15:21:07,1,1
202,206,2019-04-29 14:59:00,2019-04-25 15:00:00,22,2019-04-25 15:20:33,2019-04-29 15:21:07,1,1
203,207,2019-05-06 14:59:00,2019-05-02 15:00:00,21,2019-05-02 15:20:56,2019-05-06 15:21:28,1,1
204,208,2019-05-06 14:59:00,2019-05-02 15:00:00,22,2019-05-02 15:20:56,2019-05-06 15:21:28,1,1
205,209,2019-05-13 14:59:00,2019-05-09 15:00:00,21,2019-05-09 15:20:46,2019-05-13 15:20:45,1,1
206,210,2019-05-13 14:59:00,2019-05-09 15:00:00,22,2019-05-09 15:20:46,2019-05-13 15:20:45,1,1
207,211,2019-05-20 14:59:00,2019-05-16 15:00:00,21,2019-05-16 15:20:49,2019-05-20 15:20:46,1,1
208,212,2019-05-20 14:59:00,2019-05-16 15:00:00,22,2019-05-16 15:20:50,2019-05-20 15:20:47,1,1
209,213,2019-05-27 14:59:00,2019-05-23 15:00:00,21,2019-05-23 15:20:54,2019-05-27 15:21:18,1,1
210,214,2019-05-27 14:59:00,2019-05-23 15:00:00,22,2019-05-23 15:20:54,2019-05-27 15:21:18,1,1
211,215,2019-06-03 14:59:00,2019-05-30 15:00:00,21,2019-05-30 15:21:04,2019-06-03 15:21:18,1,1
212,216,2019-06-03 14:59:00,2019-05-30 15:00:00,22,2019-05-30 15:21:04,2019-06-03 15:21:18,1,1
213,217,2019-06-10 14:59:00,2019-06-06 15:00:00,21,2019-06-06 15:21:12,2019-06-10 15:20:57,1,1
214,218,2019-06-10 14:59:00,2019-06-06 15:00:00,22,2019-06-06 15:21:12,2019-06-10 15:20:57,1,1
215,219,2019-06-17 14:59:00,2019-06-13 15:00:00,21,2019-06-13 15:21:21,2019-06-17 15:20:26,1,1
216,220,2019-06-17 14:59:00,2019-06-13 15:00:00,22,2019-06-13 15:21:21,2019-06-17 15:20:26,1,1
217,221,2019-08-27 03:59:00,2019-08-23 04:00:00,23,2019-08-24 19:50:55,2019-08-24 19:50:55,0,0
218,222,2019-08-27 03:59:00,2019-08-23 04:00:00,24,2019-08-24 20:35:56,2019-08-24 20:35:56,0,0
219,223,2019-09-10 03:59:00,2019-09-06 04:00:00,23,2019-09-08 04:21:20,2019-09-10 04:21:00,1,1
220,224,2019-09-10 03:59:00,2019-09-06 04:00:00,24,2019-09-09 04:21:21,2019-09-15 01:21:13,1,1
221,225,2019-09-17 03:59:00,2019-09-13 04:00:00,23,2019-09-13 04:20:40,2019-09-25 03:20:46,1,1
222,226,2019-09-17 03:59:00,2019-09-13 04:00:00,26,2019-09-13 04:20:40,2019-09-17 04:21:02,1,1
