,id,accepted,consent_form_id,user_id,created_at,updated_at,presented
289,290,0.0,2,567,2019-09-25 19:28:12,2019-09-25 19:30:18,1.0
290,291,1.0,2,576,2019-09-25 19:28:43,2019-09-29 01:13:00,1.0
291,292,0.0,2,570,2019-09-25 19:29:20,2019-09-25 19:38:27,1.0
292,293,0.0,2,568,2019-09-25 19:29:37,2019-09-27 00:36:20,1.0
293,294,0.0,2,573,2019-09-25 19:29:38,2019-09-25 19:33:22,1.0
294,295,1.0,2,569,2019-09-25 19:39:46,2019-09-25 19:40:25,1.0
295,296,1.0,2,515,2019-09-25 19:49:16,2019-09-25 19:49:28,1.0
296,297,1.0,2,542,2019-09-25 19:58:50,2019-09-25 19:58:57,1.0
297,298,1.0,2,540,2019-09-25 20:10:46,2019-09-25 20:10:55,1.0
298,299,1.0,2,551,2019-09-25 20:18:17,2019-09-25 20:18:26,1.0
299,300,1.0,2,517,2019-09-25 21:14:56,2019-09-25 21:15:04,1.0
300,301,1.0,2,564,2019-09-25 22:05:34,2019-09-25 22:05:40,1.0
301,302,1.0,2,548,2019-09-25 22:20:50,2019-09-25 22:21:52,1.0
302,303,1.0,2,546,2019-09-26 00:17:45,2019-09-26 00:18:15,1.0
303,304,1.0,2,558,2019-09-26 01:04:57,2019-09-26 01:05:21,1.0
304,305,1.0,2,520,2019-09-26 01:31:34,2019-09-26 01:31:46,1.0
305,306,0.0,2,566,2019-09-26 03:23:22,2019-09-26 03:24:00,1.0
306,307,1.0,2,555,2019-09-26 16:05:41,2019-09-26 16:06:05,1.0
307,308,1.0,2,518,2019-09-26 16:40:49,2019-09-26 16:41:59,1.0
308,309,1.0,2,532,2019-09-26 16:42:36,2019-09-26 16:42:42,1.0
309,310,0.0,2,524,2019-09-26 16:45:30,2019-09-26 16:45:47,1.0
310,311,1.0,2,523,2019-09-26 16:47:06,2019-09-26 16:47:25,1.0
311,312,1.0,2,521,2019-09-26 16:47:35,2019-09-26 16:47:47,1.0
312,313,0.0,2,530,2019-09-26 16:50:09,2019-09-26 16:50:18,1.0
313,314,0.0,2,525,2019-09-26 16:55:04,2019-09-26 16:55:38,1.0
314,315,1.0,2,587,2019-09-26 17:00:09,2019-09-26 17:00:17,1.0
315,316,1.0,2,544,2019-09-26 17:03:30,2019-09-26 17:03:44,1.0
316,317,1.0,2,529,2019-09-26 17:04:40,2019-09-26 17:04:47,1.0
317,318,0.0,2,516,2019-09-26 17:06:37,2019-09-26 17:07:05,1.0
318,319,1.0,2,550,2019-09-26 17:15:45,2019-09-26 17:16:04,1.0
319,320,1.0,2,549,2019-09-26 18:19:08,2019-09-26 18:20:02,1.0
320,321,1.0,2,536,2019-09-26 18:21:48,2019-09-26 18:21:57,1.0
321,322,1.0,2,574,2019-09-26 18:27:57,2019-10-07 01:50:16,1.0
322,323,1.0,2,545,2019-09-27 02:53:31,2019-09-27 02:53:36,1.0
323,324,1.0,2,557,2019-09-27 03:05:29,2019-09-27 03:05:36,1.0
324,325,1.0,2,556,2019-09-27 04:47:44,2019-09-27 04:48:00,1.0
325,326,1.0,2,541,2019-09-27 23:12:09,2019-09-27 23:12:20,1.0
326,327,1.0,2,537,2019-09-29 16:18:32,2019-09-29 16:18:39,1.0
327,328,1.0,2,595,2019-09-29 22:03:12,2019-09-29 22:03:38,1.0
328,329,1.0,2,552,2019-09-30 13:07:49,2019-09-30 13:07:55,1.0
329,330,1.0,2,563,2019-09-30 15:18:34,2019-09-30 15:18:43,1.0
330,331,1.0,2,519,2019-09-30 15:28:59,2019-09-30 15:30:34,1.0
331,332,1.0,2,522,2019-09-30 22:04:30,2019-10-10 17:05:49,1.0
332,333,1.0,2,526,2019-10-01 16:49:44,2019-10-01 16:49:57,1.0
333,334,1.0,2,561,2019-10-02 02:44:06,2019-10-02 02:44:20,1.0
334,335,,2,596,2019-10-04 09:53:09,2019-10-04 09:53:09,0.0
335,336,1.0,2,547,2019-10-06 22:42:01,2019-10-06 22:42:06,1.0
336,337,1.0,2,553,2019-10-07 15:15:20,2019-10-07 15:15:26,1.0
337,338,1.0,2,586,2019-10-10 16:40:35,2019-10-10 16:40:44,1.0
338,339,,2,583,2019-10-14 01:09:39,2019-10-14 01:09:39,0.0
339,340,1.0,2,597,2019-10-24 20:32:15,2019-10-24 20:32:26,1.0
340,341,,2,598,2019-11-08 00:40:29,2019-11-08 00:40:29,0.0
341,342,,2,599,2019-11-19 06:23:42,2019-11-19 06:23:42,0.0
342,343,1.0,2,590,2019-11-25 01:19:05,2019-11-25 01:19:44,1.0
343,344,1.0,2,600,2019-11-25 03:32:36,2019-11-25 03:32:45,1.0
344,345,1.0,2,601,2019-12-18 21:05:34,2019-12-18 21:05:50,1.0
345,346,1.0,2,602,2020-01-07 16:42:15,2020-01-07 16:42:48,1.0
346,347,0.0,2,604,2020-01-15 07:10:55,2020-01-15 07:11:45,1.0
347,348,1.0,2,605,2020-01-23 22:00:06,2020-01-23 22:00:22,1.0
348,349,1.0,2,606,2020-01-23 22:53:27,2020-03-05 23:23:08,1.0
349,350,0.0,2,607,2020-01-24 01:08:04,2020-01-24 01:10:56,1.0
350,351,1.0,2,608,2020-01-24 06:41:02,2020-01-24 06:41:16,1.0
351,352,1.0,2,610,2020-01-24 14:47:40,2020-01-24 14:48:28,1.0
352,353,1.0,2,612,2020-01-24 16:30:05,2020-01-24 16:30:15,1.0
353,354,1.0,2,611,2020-01-24 16:55:55,2020-01-24 16:56:16,1.0
354,355,,2,613,2020-01-31 03:54:04,2020-01-31 03:54:04,0.0
